McID,StatusID,TimeStamp
Machine_1,7,2018-03-14T20:39:46.380Z
Machine_1,9,2018-03-14T20:39:49.313Z
Machine_1,10,2018-03-14T20:41:04.687Z
Machine_1,9,2018-03-14T20:41:10.147Z
Machine_2,10,2018-03-14T20:41:37.263Z
Machine_2,9,2018-03-14T20:41:39.187Z
Machine_0,10,2018-03-14T20:42:03.737Z
Machine_2,9,2018-03-14T20:42:18.997Z
Machine_2,9,2018-03-14T20:42:20.377Z
Machine_2,1,2018-03-14T20:42:32.763Z
Machine_2,10,2018-03-14T20:42:59.163Z
Machine_2,9,2018-03-14T20:43:01.100Z
Machine_2,1,2018-03-14T20:43:15.070Z
Machine_0,0,2018-03-14T20:43:25.677Z
Machine_2,0,2018-03-14T20:43:42.087Z
Machine_4,1,2018-03-14T20:43:44.630Z
Machine_0,7,2018-03-14T20:43:58.807Z
Machine_1,9,2018-03-14T20:44:35.347Z
Machine_0,7,2018-03-14T20:44:40.587Z
Machine_1,0,2018-03-14T20:44:44.983Z
Machine_0,10,2018-03-14T20:44:48.107Z
Machine_2,10,2018-03-14T20:44:50.763Z
Machine_5,9,2018-03-14T20:45:10.340Z
Machine_1,7,2018-03-14T20:45:49.230Z
Machine_0,1,2018-03-14T20:45:58.330Z
Machine_0,1,2018-03-14T20:46:39.953Z
Machine_2,7,2018-03-14T20:46:54.780Z
Machine_3,1,2018-03-14T20:46:56.927Z
Machine_2,7,2018-03-14T20:47:01.993Z
Machine_1,1,2018-03-14T20:47:59.817Z
Machine_1,9,2018-03-14T20:48:31.647Z
Machine_0,10,2018-03-14T20:48:44.513Z
Machine_0,0,2018-03-14T20:48:44.520Z
Machine_0,10,2018-03-14T20:49:23.670Z
Machine_2,9,2018-03-14T20:49:41.193Z
Machine_2,0,2018-03-14T20:49:41.200Z
Machine_1,1,2018-03-14T20:50:02.687Z
Machine_2,9,2018-03-14T20:50:22.180Z
Machine_1,7,2018-03-14T20:50:37.230Z
Machine_3,1,2018-03-14T20:50:40.323Z
Machine_4,9,2018-03-14T20:50:40.520Z
Machine_2,7,2018-03-14T20:51:02.980Z
Machine_0,7,2018-03-14T20:51:21.520Z
Machine_0,0,2018-03-14T20:51:29.077Z
Machine_0,9,2018-03-14T20:51:59.063Z
Machine_1,1,2018-03-14T20:52:06.227Z
Machine_0,7,2018-03-14T20:52:28.047Z
Machine_0,9,2018-03-14T20:52:28.203Z
Machine_2,9,2018-03-14T20:53:36.947Z
Machine_0,7,2018-03-14T20:53:49.607Z
Machine_1,0,2018-03-14T20:53:56.927Z
Machine_1,1,2018-03-14T20:53:57.090Z
Machine_0,0,2018-03-14T20:54:00.010Z
Machine_2,10,2018-03-14T20:54:13.737Z
Machine_1,7,2018-03-14T20:55:05.540Z
Machine_0,7,2018-03-14T20:55:10.917Z
Machine_1,1,2018-03-14T20:55:18.333Z
Machine_2,10,2018-03-14T20:55:23.843Z
Machine_2,9,2018-03-14T20:55:25.890Z
Machine_2,1,2018-03-14T20:55:41.030Z
Machine_1,10,2018-03-14T20:56:12.743Z
Machine_1,1,2018-03-14T20:56:28.020Z
Machine_1,0,2018-03-14T20:56:28.027Z
Machine_0,1,2018-03-14T20:56:30.730Z
Machine_2,9,2018-03-14T20:56:47.447Z
Machine_2,9,2018-03-14T20:56:48.827Z
Machine_1,9,2018-03-14T20:56:59.170Z
Machine_2,1,2018-03-14T20:57:41.527Z
Machine_0,7,2018-03-14T20:57:41.727Z
Machine_0,0,2018-03-14T20:57:52.257Z
Machine_2,7,2018-03-14T20:58:07.950Z
Machine_1,9,2018-03-14T20:59:01.627Z
Machine_1,1,2018-03-14T20:59:11.420Z
Machine_1,9,2018-03-14T21:00:22.773Z
Machine_2,9,2018-03-14T21:00:52.247Z
